﻿dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,conditionType,conditionValue,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
game_start,node001,player,???,Player,Neutral,这里是？,node002,,,FALSE,,,,,,,,
game_start,node002,system,旁白,System,Neutral,你记得你是寄宿在新闻学院独属的《院史年鉴》里的精灵，但是你今天出现在这里的原因、你的过往、你的名字不存在于你的记忆里。,node003,,,FALSE,,,,,,,,
game_start,node003,system,旁白,System,Neutral,这个地方让你有一种熟悉的感觉，不出意外这里应该是中国人民大学的校园。,node004,,,FALSE,,,,,,,,
game_start,node004,system,旁白,System,Neutral,1:控制*主角*角色⬅AD➡移动,node005,,,FALSE,,,,,,,,
game_start,node005,system,旁白,System,Neutral,2：界面可交互ui介绍:左边侧面的菜单、背包按钮,node006,,,FALSE,,,,,,,,
game_start,node006,system,旁白,System,Neutral,3：移动到npc路薪声一定范围内按E互动）,,first_move,,FALSE,,,,,,,,
homework,node001,system,旁白,System,Neutral,是熬夜肝完的“新闻采写实践作业”，屏幕停留在文档结尾的界面,node002,,,FALSE,,,,,,,,
homework,node002,system,旁白,System,Neutral,电脑快没电了，但作业文档还没有被保存过。可怜的作业不知道它只有一晚上的生命,node003,,,FALSE,,,,,,,,
homework,node003,system,旁白,System,Neutral,……这个同学还在呼呼大睡,node004,,,FALSE,,,,,,,,
homework,node004,system,旁白,System,Neutral,帮她保存作业文档,,,,FALSE,,,,,,,,
homework_over,node001,system,旁白,System,Neutral,啊哦,,,,FALSE,,,,,,,,
lu_first_dialogue,node001,LuXinsheng,路薪声,Npc,Surprised,哎——？？！从天而降的圣诞老……查寝老师？怎么还有一本没有借阅就跑出来的书啊。,node002,,,FALSE,,,,,,,,
lu_first_dialogue,node002,LuXinsheng,路薪声,Npc,Think,咦，最近明明没有要查寝的消息通知。,node003,,,FALSE,,,,,,,,
lu_first_dialogue,node003,LuXinsheng,路薪声,Npc,Neutral,唔请问你、你是——？,,,,FALSE,,,说实话,node004,开骗！,node006,,
lu_first_dialogue,node004,player,???,Player,Neutral,我是意外来到这里的，目前暂时回不去了，我需要把《院史年鉴》放回原位。,,,,FALSE,,,,,,,,
lu_first_dialogue,node005,LuXinsheng,路薪声,Npc,Smile,啊！竟然是这样，等我交完作业让我带你去图书馆吧！,node009,,,FALSE,,,,,,,,
lu_first_dialogue,node006,player,???,Player,Neutral,我是海螺姑娘，向我许愿可以拯救你的作业。,node007,,,FALSE,,,,,,,,
lu_first_dialogue,node007,LuXinsheng,路薪声,Npc,Happy,哈哈哈哈，真的假的呀~你是不是找不到路了？等我交完作业让我来帮助你回去吧！,node008,,,FALSE,,,,,,,,
lu_first_dialogue,node008,LuXinsheng,路薪声,Npc,Neutral,哦哦对了，说到作业，我想起来昨天的作业文档还没邮件给老师呢——,node009,,,FALSE,,,,,,,,
lu_first_dialogue,node009,LuXinsheng,路薪声,Npc,None,嗷不！！！！今天晚上就要上交了啊！,node010,,,FALSE,,,,,,,,
lu_first_dialogue,node010,LuXinsheng,旁白,System,Neutral,路薪声转过身查看电脑，发现没有保存作业后再次受到惊吓。,,,,TRUE,,,,,,,,
fight_dialogue,node001,player,???,Player,Neutral,小心！！,node002,,,FALSE,,,,,,,,
fight_dialogue,node002,system,旁白,System,Neutral,"按""J""发动攻击连击.",,fight_jiaolv,,FALSE,,,,,,,,
fight_over_dialogue,node001,LuXinsheng,路薪声,Npc,Confused,刚刚发生了什么，我还在做梦吗？刚刚的怪物好像是我方才焦虑的时候从我身上冒出来的。我得冷静下来重新做一份“新闻采写实践”的作业才行。,node002,,,FALSE,,,,,,,,
