dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
game_start,node001,player,???,Player,Neutral,这里是？,node002,,,FALSE,,,,,,
game_start,node002,system,旁白,System,Neutral,你或许是寄宿在《院史年鉴》里的精灵，因为你似乎就是从这本书里出现的。但是你今天出现在这里的原因、你的过往、你的名字不存在于你的记忆里。,node003,,,FALSE,,,,,,
game_start,node003,system,旁白,System,Neutral,你想快点回到泛黄的书页里守着历史的痕迹安眠，或者说你想要在这个令人怀恋的地方来一场尽致的冒险？,node004,,,FALSE,,,,,,
game_start,node004,system,旁白,System,Neutral,要知道，这里有期盼你前来的旧友，他们案头还晾着未封缄的邀约。,,first_move,,FALSE,,,,,,
homework,node001,system,旁白,System,Neutral,是熬夜肝完的“新闻采写实践作业”，屏幕停留在文档结尾的界面,node002,,,FALSE,,,,,,
homework,node002,system,旁白,System,Neutral,电脑快没电了，但作业文档还没有被保存过。可怜的作业不知道它只有一晚上的生命,node003,,,FALSE,,,,,,
homework,node003,system,旁白,System,Neutral,……这个同学还在呼呼大睡,node004,,,FALSE,,,,,,
homework,node004,system,旁白,System,Neutral,帮她保存作业文档,,,,FALSE,,,,,,
homework_over,node001,system,旁白,System,Neutral,啊哦,,,,FALSE,,,,,,
lu_first_dialogue,node001,LuXinsheng,路薪声,Npc,Surprised,哎——？？！从天而降的圣诞老……查寝老师？？,node002,,,FALSE,,,,,,
lu_first_dialogue,node002,LuXinsheng,路薪声,Npc,Think,咦，最近明明没有要查寝的消息通知。,node003,,,FALSE,,,,,,
lu_first_dialogue,node003,LuXinsheng,路薪声,Npc,Neutral,唔请问你、你是——？,,,,FALSE,我是意外来到这里的，目前暂时回不去了。,node004,我是天降救星，来拯救你的作业的。,node005,,
lu_first_dialogue,node004,LuXinsheng,路薪声,Npc,Smile,啊！竟然是这样，等我交完作业让我来帮助你回去吧！,node006,,,FALSE,,,,,,
lu_first_dialogue,node005,LuXinsheng,路薪声,Npc,Happy,哈哈哈哈，真的假的呀~你是不是找不到路了？等我交完作业让我来帮助你回去吧！,node006,,,FALSE,,,,,,
lu_first_dialogue,node006,LuXinsheng,路薪声,Npc,Neutral,对了，说到作业——,node007,,,FALSE,,,,,,
lu_first_dialogue,node007,LuXinsheng,路薪声,Npc,None,嗷！！！不！！！！今天晚上就要上交了啊啊！,node008,,,FALSE,,,,,,
lu_first_dialogue,node008,LuXinsheng,路薪声,Npc,Sad,我的作业没了（哭脸）,,,,TRUE,,,,,,
fight_dialogue,node001,player,???,Player,Neutral,小心！！,,fight_jiaolv,,FALSE,,,,,,
fight_over_dialogue,node001,LuXinsheng,路薪声,Npc,Confused,"刚刚发生了什么？那是由我产生的怪物吗……负面情绪真是可怕啊,我得冷静下来重新做一份“新闻采写实践”的作业。",node002,,,FALSE,,,,,,
fight_over_dialogue,node002,LuXinsheng,路薪声,Npc,Smile,不过刚刚你很快就击败它了，真的好厉害！！你果然是天降救星吧。,,,,FALSE,提醒她,node003,,,,
fight_over_dialogue,node003,player,???,Player,Neutral,现在的户外可能会有一些这样的怪物，你要小心。,node004,,,FALSE,,,,,,
fight_over_dialogue,node004,LuXinsheng,路薪声,Npc,Happy,收到~！谢谢——,node005,,,FALSE,,,,,,
fight_over_dialogue,node005,LuXinsheng,路薪声,Npc,Neutral,……嗯？请问怎么称呼你呢~？,,set_player_name,,TRUE,,,,,,
dialogue_001,node001,player,playerName,Player,Neutral,你可以叫我（玩家id）,node002,,,FALSE,,,,,,
dialogue_001,node002,LuXinsheng,路薪声,Npc,Smile,谢谢你{playerName}，我叫路薪声！你可以叫我小路~,node003,,,FALSE,,,,,,
dialogue_001,node003,LuXinsheng,路薪声,Npc,Confused,嗯…{playerName}，可…可以再麻烦你一个事情吗！！,node004,,,FALSE,,,,,,
dialogue_001,node004,LuXinsheng,路薪声,Npc,Neutral,作为交换！我会帮助你找到回去的路的。,node005,,,FALSE,,,,,,
dialogue_001,node005,player,playerName,Player,Neutral,请讲。,node006,,,FALSE,,,,,,
dialogue_001,node006,LuXinsheng,路薪声,Npc,Happy,……可以麻烦你在今天陪我完成“新闻采写实践”的作业嘛~拜托拜托了！有你在一定会如有神助的，嘿嘿~,,,,FALSE,同意(获得道具【英雄牌墨水瓶】),node007,,,,
dialogue_001,node007,player,playerName,Player,Neutral,没问题。,node008,,,FALSE,,,,,,
dialogue_001,node008,LuXinsheng,路薪声,Npc,Happy,耶yeeeee~太好啦！！！,node009,,,FALSE,,,,,,
dialogue_001,node009,LuXinsheng,路薪声,Npc,Happy,嘻嘻对了{playerName}，送你一个见面礼……我刚才看到你把手里的钢笔变成武器战斗了，我想你应该会需要这个吧！,node010,,ink_bottle,FALSE,,,,,,
dialogue_001,node010,LuXinsheng,路薪声,Npc,Happy,只要我们在一天内完成一份真实的校园新闻报道就算完成任务了！嘿嘿，拿上我的相机gogogo出发咯！,,open_bag,,TRUE,,,,,,
