dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,conditionType,conditionValue,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
quan-05-2,node001,Lili,莉莉,Npc,Neutral,你快看看我戴假面的样子。,node002,,,FALSE,,,,,,,,,
quan-05-2,node002,Xiaochen,小陈,Npc,Neutral,怎么了？,node003,,,FALSE,,,,,,,,,
quan-05-2,node003,Lili,莉莉,Npc,Neutral,像不像丰川x子。,node004,,,FALSE,,,,,,,,,
quan-05-2,node004,Xiaochen,小陈,Npc,Neutral,哎你......,,,,FALSE,,,,,,,,,
quan_fight_over_dialogue,node001,system,旁白,System,Neutral,"这是""回音壁小兵""。当算法将我们锁进温暖的信息茧房，异见化作的刺痛耳膜的噪音会渐渐消失，共识便凝结成这些看似没有攻击手段的小兵。它是千万条定制化的大数据，盔甲下涌动着让人心安的单色光芒。",node002,,,FALSE,,,,,,,,,
quan_fight_over_dialogue,node002,system,旁白,System,Neutral,但真相从不在舒适圈里生长，何不执笔用文字凿穿回音之壁？,,,,FALSE,,,,,,,,,
chenyan-05-2,node001,Cenyanzhi,？？？,Npc,Neutral,哟，这不是我的手下败将·小矮子·万年老二·路薪声嘛~,node002,,,FALSE,,,,,,,,,
chenyan-05-2,node002,LuXinsheng,路薪声,Npc,Neutral,干嘛！不要这样说我......你以为我很想碰见你嘛。,node003,,,FALSE,,,,,,,,,
chenyan-05-2,node003,Cenyanzhi,陈砚知,Npc,Neutral,嘻嘻，我开玩笑的~不过这次“新闻采写实践”我肯定也是满分了，提前叫你手下败将不过分吧。,node004,,,FALSE,,,,,,,,,
chenyan-05-2,node004,LuXinsheng,路薪声,Npc,Neutral,我一个新闻学的和你一个传播学的有啥好比的......而且不许小看我，我这次可是有很厉害的外援的！,node005,,,FALSE,,,,,,,,,
chenyan-05-2,node005,Cenyanzhi,陈砚知,Npc,Neutral,哦？就是旁边这位靓女嘛。,node006,,,FALSE,,,,,,,,,
chenyan-05-2,node006,system,旁白,System,Neutral,她的目光落在你身上，歪着头打量片刻，一改先前的轻慢笑意，转而浅浅一笑，轻巧地挤到你和路薪声的中间位置。,node007,,,FALSE,,,,,,,,,
chenyan-05-2,node007,Cenyanzhi,陈砚知,Npc,Neutral,好啊路薪声，我可不能让你独占这样漂亮的知性美女，我们一路去吃饭吧，就这么决定了！,node008,,,FALSE,,,,,,,,,
chenyan-05-2,node008,system,旁白,System,Neutral,路薪声像是早有预料，不高兴地撇撇嘴，但还是妥协了。,node009,,,FALSE,,,,,,,,,
chenyan-05-2,node009,LuXinsheng,路薪声,Npc,Neutral,先说好，我可是只请{playerName}吃饭的，不请你啊！,,,,TRUE,,,,,,,,,
,,,,,,,这里对话结束进入解密,,,,,,,,,,,,
shitang-05-2,node001,Cenyanzhi,陈砚知,Npc,Neutral,开饭咯~这位{playerName}小姐有什么特别想吃的吗？,,,,FALSE,,,重庆鸡公煲,node002,蜜汁叉烧拼排骨饭（怀旧版本）,node003,烤肉拌饭,node004
shitang-05-2,node002,Cenyanzhi,陈砚知,Npc,Neutral,这个很辣哦,node005,,,FALSE,,,,,,,,,
